Candidate,Party,Votes,State,Constituency,State-code,Constituency-code
PARVEEZ KHAN P,Samanya Janatha Party (Loktantrik),43,Karnataka,Govindraj Nagar,S10,166
SHIVARAJU G,Independent,41,Karnataka,Govindraj Nagar,S10,166
PRABHU,Sarva Janata Party,30,Karnataka,Govindraj Nagar,S10,166
GOVINDAIAH B R,Independent,30,Karnataka,Govindraj Nagar,S10,166
M UMASHANKAR,Independent,23,Karnataka,Govindraj Nagar,S10,166
RAGHUNATH A P,Independent,19,Karnataka,Govindraj Nagar,S10,166
JAYACHANDRA H,Independent,15,Karnataka,Govindraj Nagar,S10,166
YATHIS M,Independent,14,Karnataka,Govindraj Nagar,S10,166
SREEDHAR V S,Rani Chennamma Party,12,Karnataka,Govindraj Nagar,S10,166
None of the Above,None of the Above,509,Karnataka,Govindraj Nagar,S10,166
M. KRISHNAPPA,Indian National Congress,54964,Karnataka,Vijay Nagar,S10,167
H. RAVINDRA,Bharatiya Janata Party,53521,Karnataka,Vijay Nagar,S10,167
PARAMASHIVA N.E,Janata Dal  (Secular),4254,Karnataka,Vijay Nagar,S10,167
SYED MUJAHID,Independent,297,Karnataka,Vijay Nagar,S10,167
AMJAD KHAN,Samanya Janatha Party (Loktantrik),253,Karnataka,Vijay Nagar,S10,167
M.MALLIKARJUNA,Independent,237,Karnataka,Vijay Nagar,S10,167
C.K RAVI,Indian New Congress Party,208,Karnataka,Vijay Nagar,S10,167
H.RAVI,Karnataka Pragnyavantha Janatha Party,114,Karnataka,Vijay Nagar,S10,167
ARUNKUMAR. C,Republican Party of India,87,Karnataka,Vijay Nagar,S10,167
BUDAYYA B PUJERI,Karunaadu Party,66,Karnataka,Vijay Nagar,S10,167
WAHEEDA BANU,Jai Bharath Jena Sena Party,66,Karnataka,Vijay Nagar,S10,167
K.R PRAKASH,Independent,64,Karnataka,Vijay Nagar,S10,167
NARASIMHA L,Independent,61,Karnataka,Vijay Nagar,S10,167
YODHA RAVI GOWDA,Kannada  Paksha,59,Karnataka,Vijay Nagar,S10,167
VIJAY KUMAR. N,Janata Dal  (United),57,Karnataka,Vijay Nagar,S10,167
None of the Above,None of the Above,1465,Karnataka,Vijay Nagar,S10,167
B.Z. ZAMEER AHMED KHAN,Indian National Congress,33099,Karnataka,Chamrajpet,S10,168
M LAKSHMINARAYANA,Bharatiya Janata Party,11447,Karnataka,Chamrajpet,S10,168
B K ALTAF KHAN,Janata Dal  (Secular),9003,Karnataka,Chamrajpet,S10,168
SRINIVAS B V,Independent,222,Karnataka,Chamrajpet,S10,168
TABARAK SHARIFF,Independent,155,Karnataka,Chamrajpet,S10,168
K. MANI,Independent,138,Karnataka,Chamrajpet,S10,168
NARASIMHAIAH P S,Ambedkar Samaj Party,107,Karnataka,Chamrajpet,S10,168
IRFAN AHMED,Independent,93,Karnataka,Chamrajpet,S10,168
SUBBARAYUDU,Independent,80,Karnataka,Chamrajpet,S10,168
ASGAR A MOHIN S M,Independent,62,Karnataka,Chamrajpet,S10,168
S. RUKMANGAD,Shivsena,45,Karnataka,Chamrajpet,S10,168
SYED ASLAM,All India Mahila Empowerment Party,43,Karnataka,Chamrajpet,S10,168
S.N. HARISH NARAYAN GANDHI,Bhaarateeya Janashakthi Congress,42,Karnataka,Chamrajpet,S10,168
ABDULLA,Independent,37,Karnataka,Chamrajpet,S10,168
N PADMANABHA,Samanya Janatha Party (Loktantrik),37,Karnataka,Chamrajpet,S10,168
PRAMILA,Namma Congress,34,Karnataka,Chamrajpet,S10,168
AMJAD KHAN,Independent,30,Karnataka,Chamrajpet,S10,168
AMEER AHMED KHAN,Independent,29,Karnataka,Chamrajpet,S10,168
SYED KHADEER,Independent,26,Karnataka,Chamrajpet,S10,168
YOGESH.J.PATEL,Kannada  Paksha,23,Karnataka,Chamrajpet,S10,168
SAMPANGI RAAJ,Independent,20,Karnataka,Chamrajpet,S10,168
None of the Above,None of the Above,234,Karnataka,Chamrajpet,S10,168
UDAY B.GARUDACHAR,Bharatiya Janata Party,38668,Karnataka,Chickpet,S10,169
R.V.DEVRAJ,Indian National Congress,26144,Karnataka,Chickpet,S10,169
DR D.HEMACHANDRA SAGAR,Janata Dal  (Secular),4175,Karnataka,Chickpet,S10,169
MUJAHID PASHA.A,SOCIAL DEMOCRATIC PARTY OF INDIA,3838,Karnataka,Chickpet,S10,169
BHARAT SANGHVI,Independent,326,Karnataka,Chickpet,S10,169
RAKESH KUMAR SHUKLA,Independent,274,Karnataka,Chickpet,S10,169
BASAVARAJ VAIJANATH JEMSHETTY,Independent,148,Karnataka,Chickpet,S10,169
AFSAR KHAN. R.K,All India Mahila Empowerment Party,104,Karnataka,Chickpet,S10,169
PRAVEEN.V.K,Independent,96,Karnataka,Chickpet,S10,169
RAJENDRA KUMAR M. SOLANKI,Independent,83,Karnataka,Chickpet,S10,169
THYAGARAJ,Republican Sena,55,Karnataka,Chickpet,S10,169
PURANDARA UPADHYAYA G,Independent,52,Karnataka,Chickpet,S10,169
N. KISHORE KUMAR,Akhil Bharat Hindu Mahasabha,51,Karnataka,Chickpet,S10,169
R.SHEKAR,Independent,48,Karnataka,Chickpet,S10,169
SYED SHAZAD AHMED,Independent,47,Karnataka,Chickpet,S10,169
SYED IQBAL,Independent,38,Karnataka,Chickpet,S10,169
SYED RIYAZ,Independent,37,Karnataka,Chickpet,S10,169
SADAT ALI,Independent,37,Karnataka,Chickpet,S10,169
ARUN PRASAD. A,Independent,32,Karnataka,Chickpet,S10,169
SHIVAKUMAR.K.S,Independent,26,Karnataka,Chickpet,S10,169
N.MUNIYPPA,Republican Party of India,24,Karnataka,Chickpet,S10,169
ASGAR A MOHIN S M,Independent,23,Karnataka,Chickpet,S10,169
B. CHIKKANAGESHA,Independent,23,Karnataka,Chickpet,S10,169
M.SRINIVASA MURTHY,Independent,22,Karnataka,Chickpet,S10,169
C.NANJUNDAPPA,Independent,22,Karnataka,Chickpet,S10,169
P. AMARNATH,Independent,19,Karnataka,Chickpet,S10,169
SHAFIULLA SHARIFF,Independent,18,Karnataka,Chickpet,S10,169
None of the Above,None of the Above,891,Karnataka,Chickpet,S10,169
RAVISUBRAMANYA.L.A,Bharatiya Janata Party,76018,Karnataka,Basavanagudi,S10,170
K.BAGEGOWDA,Janata Dal  (Secular),38009,Karnataka,Basavanagudi,S10,170
M.BOREGOWDA,Indian National Congress,11767,Karnataka,Basavanagudi,S10,170
SAKLESHPUR GUNDAPPA SITARAM,Aam Aadmi Party,453,Karnataka,Basavanagudi,S10,170
KENCHAIAH.S.,Republican Party of India (A),328,Karnataka,Basavanagudi,S10,170
SHARANU.M.,Independent,256,Karnataka,Basavanagudi,S10,170
DR.BANU PRAKASH.A.S.,Pyramid Party of India,233,Karnataka,Basavanagudi,S10,170
VISHALA ESHWAR,Independent,203,Karnataka,Basavanagudi,S10,170
J.VENKATESH,All India Mahila Empowerment Party,187,Karnataka,Basavanagudi,S10,170
T.S.MADHURANATH,Independent,149,Karnataka,Basavanagudi,S10,170
VEDI.B,Independent,121,Karnataka,Basavanagudi,S10,170
B K PRAKASH,Kannada  Paksha,120,Karnataka,Basavanagudi,S10,170
D.M.BHATTAD,Janata Dal  (United),119,Karnataka,Basavanagudi,S10,170
H.M.RAMA,Bharatiya Prajagala Kalyana Paksha,116,Karnataka,Basavanagudi,S10,170
PADMANABHAN.M.N,Independent,108,Karnataka,Basavanagudi,S10,170
None of the Above,None of the Above,1856,Karnataka,Basavanagudi,S10,170
R ASHOKA,Bharatiya Janata Party,51454,Karnataka,Padmanaba Nagar,S10,171
V K GOPAL,Janata Dal  (Secular),28714,Karnataka,Padmanaba Nagar,S10,171
M SRINIVAS,Indian National Congress,13594,Karnataka,Padmanaba Nagar,S10,171
MEERA RAGHAVENDRA,Independent,212,Karnataka,Padmanaba Nagar,S10,171
RAVIGOWDA,Independent,201,Karnataka,Padmanaba Nagar,S10,171
AKMAL SHAREFF,All India Mahila Empowerment Party,169,Karnataka,Padmanaba Nagar,S10,171
G T GOPAL,Independent,160,Karnataka,Padmanaba Nagar,S10,171
YOGESH,Independent,114,Karnataka,Padmanaba Nagar,S10,171
SUMA MAHINDHAR,Kannada  Paksha,98,Karnataka,Padmanaba Nagar,S10,171
KUMAR H,Rashtriya Manav Vikas Party,75,Karnataka,Padmanaba Nagar,S10,171
S MANIVANNAN,Independent,61,Karnataka,Padmanaba Nagar,S10,171
GUNASHEKHAR M,Independent,55,Karnataka,Padmanaba Nagar,S10,171
PRABHAKAR,Independent,51,Karnataka,Padmanaba Nagar,S10,171
K FIROZ,Independent,39,Karnataka,Padmanaba Nagar,S10,171
None of the Above,None of the Above,1585,Karnataka,Padmanaba Nagar,S10,171
RAMALINGA REDDY,Indian National Congress,38274,Karnataka,B.T.M.Layout,S10,172
LALLESH REDDY,Bharatiya Janata Party,22158,Karnataka,B.T.M.Layout,S10,172
K DEVADAS,Janata Dal  (Secular),6952,Karnataka,B.T.M.Layout,S10,172
DR. SYED ASAD ABBAS (M C ABBAS),Aam Aadmi Party,450,Karnataka,B.T.M.Layout,S10,172
N KRISHNOJI RAO,Bhaarateeya Janashakthi Congress,232,Karnataka,B.T.M.Layout,S10,172
SATISH BABU S N,Independent,173,Karnataka,B.T.M.Layout,S10,172
KUMARI. JAYALAKSHMI B V,All India Mahila Empowerment Party,153,Karnataka,B.T.M.Layout,S10,172
SHABRIN,Independent,112,Karnataka,B.T.M.Layout,S10,172
SEEMA KOWSER,Karnataka Pragnyavantha Janatha Party,108,Karnataka,B.T.M.Layout,S10,172
YASHWANT NAIK,Independent,57,Karnataka,B.T.M.Layout,S10,172
BRAHMANANDA N,Independent,56,Karnataka,B.T.M.Layout,S10,172
PRADEEP MENDONCA,Independent,48,Karnataka,B.T.M.Layout,S10,172
M MUNESHWARA,Republican Sena,41,Karnataka,B.T.M.Layout,S10,172
None of the Above,None of the Above,1255,Karnataka,B.T.M.Layout,S10,172
ARAVIND LIMBAVALI,Bharatiya Janata Party,90989,Karnataka,Mahadevapura,S10,174
A C SRINIVASA,Indian National Congress,82886,Karnataka,Mahadevapura,S10,174
SATHISH K,Janata Dal  (Secular),4215,Karnataka,Mahadevapura,S10,174
NAGESH T,Independent,3118,Karnataka,Mahadevapura,S10,174
B R BHASKAR PRASAD,Aam Aadmi Party,733,Karnataka,Mahadevapura,S10,174
P RAMESH CHANDER,Swaraj India,619,Karnataka,Mahadevapura,S10,174
V SRINIVASA,Independent,323,Karnataka,Mahadevapura,S10,174
V UMA,Karnataka Jantha Paksha,235,Karnataka,Mahadevapura,S10,174
A LAKSHMAIAH,Independent,219,Karnataka,Mahadevapura,S10,174
J UDAY KUMAR,Independent,195,Karnataka,Mahadevapura,S10,174
SRINIVASA,Independent,191,Karnataka,Mahadevapura,S10,174
NANDAKUMAR R,All India Mahila Empowerment Party,183,Karnataka,Mahadevapura,S10,174
DR. H R SURENDRA,Republican Party of India (A),156,Karnataka,Mahadevapura,S10,174
S M KRISHNA,Bharatiya Praja Paksha,133,Karnataka,Mahadevapura,S10,174
K KRISHNA,Republican Sena,97,Karnataka,Mahadevapura,S10,174
None of the Above,None of the Above,2178,Karnataka,Mahadevapura,S10,174
SATHISH REDDY M,Bharatiya Janata Party,111863,Karnataka,Bommanahalli,S10,175
SUSHMA RAJAGOPALA  REDDY,Indian National Congress,64701,Karnataka,Bommanahalli,S10,175
T R PRASAD,Janata Dal  (Secular),9379,Karnataka,Bommanahalli,S10,175
SOMASHEKAR.N,Praja Parivartan Party,2142,Karnataka,Bommanahalli,S10,175
DR.P.ANILKUMAR,Independent,1143,Karnataka,Bommanahalli,S10,175
SUSHMA RAMESH,Independent,576,Karnataka,Bommanahalli,S10,175
SUSHMA SANDEEP,Independent,460,Karnataka,Bommanahalli,S10,175
SADARULLA,Independent,352,Karnataka,Bommanahalli,S10,175
SYED ISMAIL,Independent,347,Karnataka,Bommanahalli,S10,175
SHEEBA C P,Independent,335,Karnataka,Bommanahalli,S10,175
MADHUSUDAN REDDY,Jai Bharath Jena Sena Party,320,Karnataka,Bommanahalli,S10,175
V MADESHA,Independent,271,Karnataka,Bommanahalli,S10,175
KUPENDRA,Independent,243,Karnataka,Bommanahalli,S10,175
ABDUL KADIR GSY,Independent,224,Karnataka,Bommanahalli,S10,175
SHAIK IMRAN,All India Mahila Empowerment Party,161,Karnataka,Bommanahalli,S10,175
G VENKATESH BHOVI,Shivsena,150,Karnataka,Bommanahalli,S10,175
RATHNAMMA,Rashtriya Manav Vikas Party,146,Karnataka,Bommanahalli,S10,175
PAVITHRA GUNDEGOWDA,Independent,120,Karnataka,Bommanahalli,S10,175
DILIP KUMAR,Independent,86,Karnataka,Bommanahalli,S10,175
None of the Above,None of the Above,2491,Karnataka,Bommanahalli,S10,175
M KRISHNAPPA,Bharatiya Janata Party,34461,Karnataka,Bangalore South,S10,176
R K RAMESH,Indian National Congress,22687,Karnataka,Bangalore South,S10,176
R PRABHAKAR REDDY,Janata Dal  (Secular),10152,Karnataka,Bangalore South,S10,176
K ABHISHEK,AARAKSHAN VIRODHI PARTY,165,Karnataka,Bangalore South,S10,176
D K SHIVASHANKAR,Independent,145,Karnataka,Bangalore South,S10,176
SREENIVASU,Independent,134,Karnataka,Bangalore South,S10,176
R RAJESH,Independent,97,Karnataka,Bangalore South,S10,176
M KRISHANAPPA,Independent,94,Karnataka,Bangalore South,S10,176
ANBU,Independent,86,Karnataka,Bangalore South,S10,176
SIRAJUDDIN,All India Mahila Empowerment Party,77,Karnataka,Bangalore South,S10,176
V CHETHAN,Kannada  Paksha,74,Karnataka,Bangalore South,S10,176
CHAND BHASHA,Republican Sena,68,Karnataka,Bangalore South,S10,176
MANJUNATH K H,Independent,61,Karnataka,Bangalore South,S10,176
APPAJI GOWDA,Independent,42,Karnataka,Bangalore South,S10,176
None of the Above,None of the Above,980,Karnataka,Bangalore South,S10,176
B.SHIVANNA,Indian National Congress,58138,Karnataka,Anekal,S10,177
A.NARAYANASWAMY,Bharatiya Janata Party,57688,Karnataka,Anekal,S10,177
G. SRINIVAS,Bahujan Samaj Party,1773,Karnataka,Anekal,S10,177
D.MAHADESH,Communist Party of India  (Marxist),716,Karnataka,Anekal,S10,177
MUNIKRISHNAPPA,All India Mahila Empowerment Party,228,Karnataka,Anekal,S10,177
C.NARAYANASWAMY,Independent,172,Karnataka,Anekal,S10,177
M.MUNIYALLAMMA,Republican Sena,131,Karnataka,Anekal,S10,177
A.NARAYANASWAMY,Independent,117,Karnataka,Anekal,S10,177
MANJUNATH V,Independent,117,Karnataka,Anekal,S10,177
VENKATESHAPPA,Sarva Janata Party,102,Karnataka,Anekal,S10,177
AMARESH.Y,Independent,69,Karnataka,Anekal,S10,177
Y.RAVINDRA,Bharatiya Praja Paksha,57,Karnataka,Anekal,S10,177
None of the Above,None of the Above,1194,Karnataka,Anekal,S10,177
N NAGARAJU (M.T.B),Indian National Congress,74381,Karnataka,Hosakote,S10,178
SHARATH KUMAR BACHEGOWDA,Bharatiya Janata Party,69453,Karnataka,Hosakote,S10,178
KRISHNA MURTHY R,Janata Dal  (Secular),777,Karnataka,Hosakote,S10,178
RAMESHA,Ambedkar Samaj Party,305,Karnataka,Hosakote,S10,178
V SHAMANNA,Independent,183,Karnataka,Hosakote,S10,178
SURESHA C,Independent,136,Karnataka,Hosakote,S10,178
G SHRINIVASA,All India Mahila Empowerment Party,100,Karnataka,Hosakote,S10,178
RAJESH T K,Independent,81,Karnataka,Hosakote,S10,178
B V MANJUNATHA,Independent,52,Karnataka,Hosakote,S10,178
RAVEESHA  T,Independent,47,Karnataka,Hosakote,S10,178
MANJUNATHA GOWDA T V,Independent,42,Karnataka,Hosakote,S10,178
NAGARAJ V,Independent,35,Karnataka,Hosakote,S10,178
NAGARAJ D.C.N,Independent,33,Karnataka,Hosakote,S10,178
None of the Above,None of the Above,406,Karnataka,Hosakote,S10,178
NARAYANASWAMY L N,Janata Dal  (Secular),85275,Karnataka,Devanahalli,S10,179
VENKATASWAMY,Indian National Congress,68581,Karnataka,Devanahalli,S10,179
K NAGESH,Bharatiya Janata Party,9612,Karnataka,Devanahalli,S10,179
SRINIVAS M SANNIDHI,Independent,810,Karnataka,Devanahalli,S10,179
INDIRAMMA B V,Republican Party of India,616,Karnataka,Devanahalli,S10,179
B RAMACHANDRA,Independent,453,Karnataka,Devanahalli,S10,179
NAGARAJA,Ambedkarite Party of India,309,Karnataka,Devanahalli,S10,179
D.R.NARAYANASWAMY,Independent,276,Karnataka,Devanahalli,S10,179
MYATHYU MUNIYAPPA S M,Independent,245,Karnataka,Devanahalli,S10,179
K RAMACHANDRAPPA,All India Mahila Empowerment Party,194,Karnataka,Devanahalli,S10,179
NAGARAJU M,Republican Sena,177,Karnataka,Devanahalli,S10,179
None of the Above,None of the Above,1270,Karnataka,Devanahalli,S10,179
T VENKATARAMANAIAH,Indian National Congress,73225,Karnataka,Doddaballapur,S10,180
B MUNEGOWDA,Janata Dal  (Secular),63280,Karnataka,Doddaballapur,S10,180
J NARASIMHASWAMY,Bharatiya Janata Party,27612,Karnataka,Doddaballapur,S10,180
DR.K.N.VENKATESH,Independent,1018,Karnataka,Doddaballapur,S10,180
GOWRAMMA,Republican Sena,668,Karnataka,Doddaballapur,S10,180
M SRINIVAS,Independent,592,Karnataka,Doddaballapur,S10,180
M JAYALAKSHMI,All India Janaraksha Party,286,Karnataka,Doddaballapur,S10,180
MUNEGOWDA,Independent,194,Karnataka,Doddaballapur,S10,180
Y VENKATARAMANAPPA,Independent,181,Karnataka,Doddaballapur,S10,180
MALLESH M,Federal Congress of India,156,Karnataka,Doddaballapur,S10,180
M MANJUNATH,All India Mahila Empowerment Party,143,Karnataka,Doddaballapur,S10,180
S PURUSHOTHAM,Janata Dal  (United),132,Karnataka,Doddaballapur,S10,180
T.M.VENKATARAMANAIAH,Karnataka Pragnyavantha Janatha Party,129,Karnataka,Doddaballapur,S10,180
IBRAHIM SHARIFF TUBHAGERE SHARIFF,Independent,125,Karnataka,Doddaballapur,S10,180
None of the Above,None of the Above,1016,Karnataka,Doddaballapur,S10,180
DR. K .SREENIVASAMURTHY,Janata Dal  (Secular),65083,Karnataka,Nelamangala,S10,181
R NARAYANASWAMY,Indian National Congress,42253,Karnataka,Nelamangala,S10,181
M V NAGARAJU,Bharatiya Janata Party,40019,Karnataka,Nelamangala,S10,181
B. RAMAIAH,Janata Dal  (United),881,Karnataka,Nelamangala,S10,181
D H    MANJULAMANI,Independent,486,Karnataka,Nelamangala,S10,181
N K   LOKESHA,Samanya Janatha Party (Loktantrik),483,Karnataka,Nelamangala,S10,181
SURESH RATHOD,Independent,325,Karnataka,Nelamangala,S10,181
G  SHIVAKUMARI,All India Mahila Empowerment Party,275,Karnataka,Nelamangala,S10,181
DINESH KUMAR,Independent,273,Karnataka,Nelamangala,S10,181
S.  LEPAKSHA,Lok Awaz Dal,236,Karnataka,Nelamangala,S10,181
DR SHIVARAJA,Karnataka Pragnyavantha Janatha Party,200,Karnataka,Nelamangala,S10,181
None of the Above,None of the Above,1087,Karnataka,Nelamangala,S10,181
A. MANJUNATH,Janata Dal  (Secular),98336,Karnataka,Magadi,S10,182
H.C. BALAKRISHNA,Indian National Congress,55997,Karnataka,Magadi,S10,182
M.C.HANUMANTHARAJ,Bharatiya Janata Party,3828,Karnataka,Magadi,S10,182
MURALI.B,Independent,491,Karnataka,Magadi,S10,182
PRASHANT.M,Independent,191,Karnataka,Magadi,S10,182
D.M.MADEGOWDA,All India Mahila Empowerment Party,190,Karnataka,Magadi,S10,182
NAVEENKUMAR,Independent,91,Karnataka,Magadi,S10,182
M.G.JAYANANDA SWAMY,Independent,77,Karnataka,Magadi,S10,182
D.SHIVAKUMAR,Samajwadi Party,76,Karnataka,Magadi,S10,182
NARASIMHAMURTHY.H,Independent,60,Karnataka,Magadi,S10,182
None of the Above,None of the Above,707,Karnataka,Magadi,S10,182
H.D.KUMARASWAMY,Janata Dal  (Secular),88481,Karnataka,Ramanagaram,S10,183
IQBAL HUSSAIN.H.A,Indian National Congress,67798,Karnataka,Ramanagaram,S10,183
LEELAVATHI,Bharatiya Janata Party,4731,Karnataka,Ramanagaram,S10,183
J.T.PRAKASH,Indian New Congress Party,960,Karnataka,Ramanagaram,S10,183
SURENDRA RAMANAGARA,Independent,445,Karnataka,Ramanagaram,S10,183
SIDDAMARAIAH.S.,Independent,340,Karnataka,Ramanagaram,S10,183
S.KANTARAJU,Independent,314,Karnataka,Ramanagaram,S10,183
B.S.KUMAR,Independent,175,Karnataka,Ramanagaram,S10,183
SHIVAKUMAR.S.,Independent,174,Karnataka,Ramanagaram,S10,183
G.P.SHANKAREGOWDA,Independent,145,Karnataka,Ramanagaram,S10,183
GULAB JAN,Independent,128,Karnataka,Ramanagaram,S10,183
MANJUNATH. J,Independent,98,Karnataka,Ramanagaram,S10,183
BHARATH.N,Independent,92,Karnataka,Ramanagaram,S10,183
None of the Above,None of the Above,1105,Karnataka,Ramanagaram,S10,183
D K SHIVAKUMAR,Indian National Congress,114420,Karnataka,Kanakapura,S10,184
NARAYANA GOWDA,Janata Dal  (Secular),44134,Karnataka,Kanakapura,S10,184
NANDINI GOWDA,Bharatiya Janata Party,5927,Karnataka,Kanakapura,S10,184
N ARUN KUMAR,Rashtriya Manav Vikas Party,974,Karnataka,Kanakapura,S10,184
SHIVA KUMARA M.D,Independent,580,Karnataka,Kanakapura,S10,184
K.V VISHWANATH,Independent,440,Karnataka,Kanakapura,S10,184
B R PRAKASHA,Praja Parivartan Party,380,Karnataka,Kanakapura,S10,184
NARAYANA GOWDA,Independent,271,Karnataka,Kanakapura,S10,184
SHIVARENUKA,Independent,239,Karnataka,Kanakapura,S10,184
MADAIAH K Y,Independent,214,Karnataka,Kanakapura,S10,184
PRADEEP KUMAR H L,Independent,130,Karnataka,Kanakapura,S10,184
None of the Above,None of the Above,1100,Karnataka,Kanakapura,S10,184
H D KUMARA SWAMY,Janata Dal  (Secular),77026,Karnataka,Channapatna,S10,185
C P YOGEESHWARA,Bharatiya Janata Party,60424,Karnataka,Channapatna,S10,185
H M REVANNA,Indian National Congress,27365,Karnataka,Channapatna,S10,185
RATNAMMA,Independent,837,Karnataka,Channapatna,S10,185
YOGISHA M,Independent,434,Karnataka,Channapatna,S10,185
ASHWATH P,Ambedkar Samaj Party,428,Karnataka,Channapatna,S10,185
T M MANCHEGOWDA,Independent,361,Karnataka,Channapatna,S10,185
J T PRAKASH,Indian New Congress Party,329,Karnataka,Channapatna,S10,185
B M LOKESH,All India Mahila Empowerment Party,101,Karnataka,Channapatna,S10,185
NAVYASHREE R,Independent,87,Karnataka,Channapatna,S10,185
JAI KISSAN S R,Independent,69,Karnataka,Channapatna,S10,185
K N SIDDARAJU,Dr. Ambedkar People's Party,68,Karnataka,Channapatna,S10,185
SHILPA K P,Samanya Janatha Party (Loktantrik),64,Karnataka,Channapatna,S10,185
A KRISHNA,Independent,47,Karnataka,Channapatna,S10,185
K V MANU,Rashtriya Manav Vikas Party,39,Karnataka,Channapatna,S10,185
None of the Above,None of the Above,964,Karnataka,Channapatna,S10,185
DR.K.ANNADANI,Janata Dal  (Secular),68339,Karnataka,Malavalli,S10,186
P.M.NARENDRASWAMY,Indian National Congress,45530,Karnataka,Malavalli,S10,186
B.SOMASHEKHAR,Bharatiya Janata Party,5002,Karnataka,Malavalli,S10,186
M.S.SHASHIKUMAR,Indian New Congress Party,450,Karnataka,Malavalli,S10,186
R.SIDDARAJU,Independent,269,Karnataka,Malavalli,S10,186
M.KRISHNAMURTHY,Bharatiya Rashtriya Mahila Sarvodaya Congress,182,Karnataka,Malavalli,S10,186
T.N.SATHEESH KUMAR,Independent,140,Karnataka,Malavalli,S10,186
H.MAHADEVA,Independent,119,Karnataka,Malavalli,S10,186
M.NANJAPPA,Independent,108,Karnataka,Malavalli,S10,186
MANTYALINGU,Republican Party of India (A),92,Karnataka,Malavalli,S10,186
H.D.DEVAPRASAD,Independent,90,Karnataka,Malavalli,S10,186
VISHWANATHA G.S.,All India Mahila Empowerment Party,76,Karnataka,Malavalli,S10,186
T.C.VENKATESH,Rashtriya Manav Vikas Party,56,Karnataka,Malavalli,S10,186
None of the Above,None of the Above,863,Karnataka,Malavalli,S10,186
D.C.THAMMANNA,Janata Dal  (Secular),73995,Karnataka,Maddur,S10,187
MADHU G MADEGOWDA,Indian National Congress,34871,Karnataka,Maddur,S10,187
MADDURU SATHISHA,Bharatiya Janata Party,3141,Karnataka,Maddur,S10,187
LINGEGOWDA S H,Swaraj India,383,Karnataka,Maddur,S10,187
VENKATESHA,Independent,282,Karnataka,Maddur,S10,187
SHIVAMADEGOWDA K R,Independent,268,Karnataka,Maddur,S10,187
VENKATESHA B,Dr. Ambedkar People's Party,119,Karnataka,Maddur,S10,187
DR.MANOJITH S S,Federal Congress of India,103,Karnataka,Maddur,S10,187
P.S. MAHESH KUMAR,Independent,91,Karnataka,Maddur,S10,187
N C PUTTARAJU,Independent,69,Karnataka,Maddur,S10,187
CHETHAN B,Independent,67,Karnataka,Maddur,S10,187
MAHESHA S,Independent,67,Karnataka,Maddur,S10,187
HEENA KOUSER,All India Mahila Empowerment Party,58,Karnataka,Maddur,S10,187
None of the Above,None of the Above,956,Karnataka,Maddur,S10,187
C S PUTTARAJU,Janata Dal  (Secular),85904,Karnataka,Melukote,S10,188
DARSHAN PUTTANNAIAH,Swaraj India,62869,Karnataka,Melukote,S10,188
SUNDAHALLI SOMASHEKARA,Bharatiya Janata Party,1388,Karnataka,Melukote,S10,188
B.K.PUTTARAJU,Independent,605,Karnataka,Melukote,S10,188
MAHESH VAKEELARU,All India Mahila Empowerment Party,426,Karnataka,Melukote,S10,188
DARSHAN.K.SEENEGOWDA,Independent,255,Karnataka,Melukote,S10,188
D K RAVIKUMARA,Independent,232,Karnataka,Melukote,S10,188
MAHESHA,Jana Samanyara Party (Karnataka),168,Karnataka,Melukote,S10,188
PUTTARAJU,Independent,149,Karnataka,Melukote,S10,188
ROHINI,Samajwadi Party,137,Karnataka,Melukote,S10,188
ARUNKUMAR,Independent,118,Karnataka,Melukote,S10,188
H NARAYANA,Independent,109,Karnataka,Melukote,S10,188
G.M.RAMESH,Karnataka Jantha Paksha,78,Karnataka,Melukote,S10,188
None of the Above,None of the Above,850,Karnataka,Melukote,S10,188
M SRINIVAS,Janata Dal  (Secular),66571,Karnataka,Mandya,S10,189
P RAVIKUMAR,Indian National Congress,46228,Karnataka,Mandya,S10,189
N SHIVANNA,Bharatiya Janata Party,31183,Karnataka,Mandya,S10,189
DR S C SHANKAREGOWDA,Independent,10217,Karnataka,Mandya,S10,189
H C SHIVARAMU,Independent,1740,Karnataka,Mandya,S10,189
KAVERI SHREYA M J,All India Mahila Empowerment Party,651,Karnataka,Mandya,S10,189
M B NAGANNA GOWDA,Independent,399,Karnataka,Mandya,S10,189
RAJESHA CHAKANAHALLI,Independent,355,Karnataka,Mandya,S10,189
KRISHNA C M,Independent,298,Karnataka,Mandya,S10,189
SHIVAKUMAR B S,Karnataka Pragnyavantha Janatha Party,284,Karnataka,Mandya,S10,189
MANJUNATHA S J,Independent,238,Karnataka,Mandya,S10,189
K MALLESHA,Independent,178,Karnataka,Mandya,S10,189
M C NITHYANANDA,Independent,160,Karnataka,Mandya,S10,189
None of the Above,None of the Above,980,Karnataka,Mandya,S10,189
RAVINDRA SRIKANTAIAH,Janata Dal  (Secular),70008,Karnataka,Shrirangapattana,S10,190
A.B.RAMESHA  BANDISIDDEGOWDA,Indian National Congress,37759,Karnataka,Shrirangapattana,S10,190
NANJUNDEGOWDA.K. S,Bharatiya Janata Party,7011,Karnataka,Shrirangapattana,S10,190
VENKATESHA.C.S,Aam Aadmi Party,1308,Karnataka,Shrirangapattana,S10,190
